PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1650428528, 0.5985666513442993, -0.010850252583622932, -0.00021571485558524728, 0.8009995818138123, 0, 0, 0, 0, 0, 0, 1.57666015625, -0.560546875, -1.22119140625, 0, 
1, 1650436861, 0.598566472530365, -0.010850784368813038, -0.00021598173771053553, 0.8009997010231018, -0.19640964269638062, -0.14083200693130493, 9.843928337097168, 0.2925017476081848, 0.3309231102466583, -0.7569006085395813, 1.57763671875, -0.560546875, -1.2236328125, 0, 
2, 1650445194, 0.5985580086708069, -0.010845865122973919, -0.00020789333211723715, 0.801006019115448, -0.1882556676864624, -0.12569691240787506, 9.855230331420898, 0.4250810146331787, 0.3377108573913574, -0.7317730188369751, 1.57470703125, -0.55859375, -1.22314453125, 0, 
3, 1650453527, 0.5985554456710815, -0.010848602280020714, -0.00020676465646829456, 0.801007866859436, -0.18330590426921844, -0.12511752545833588, 9.866252899169922, 0.29014527797698975, 0.3665781617164612, -0.7156105637550354, 1.5732421875, -0.56494140625, -1.22119140625, 0, 
4, 1650461860, 0.598547637462616, -0.01084896083921194, -0.0002100220153806731, 0.801013708114624, -0.17088879644870758, -0.1259833127260208, 9.857147216796875, 0.2552074193954468, 0.30228644609451294, -0.7408918142318726, 1.5751953125, -0.5595703125, -1.220703125, 0, 
5, 1650470193, 0.598544180393219, -0.010853934101760387, -0.00021768978331238031, 0.8010162115097046, -0.19291217625141144, -0.13334329426288605, 9.838556289672852, 0.17442013323307037, 0.32037004828453064, -0.7032900452613831, 1.5771484375, -0.5625, -1.22265625, 0, 
6, 1650478526, 0.5985321998596191, -0.010854066349565983, -0.00021414662478491664, 0.8010251522064209, -0.18741163611412048, -0.15158304572105408, 9.858412742614746, 0.3327929377555847, 0.35374534130096436, -0.66801917552948, 1.57666015625, -0.5634765625, -1.2216796875, 0, 
7, 1650486859, 0.5985295176506042, -0.01085473783314228, -0.00022154452744871378, 0.8010271787643433, -0.1805019974708557, -0.1526559740304947, 9.854764938354492, 0.21289272606372833, 0.27516090869903564, -0.7150213718414307, 1.57470703125, -0.5634765625, -1.22021484375, 0, 
8, 1650495192, 0.5985212922096252, -0.010854000225663185, -0.00022288993932306767, 0.8010333180427551, -0.15794934332370758, -0.12409497052431107, 9.851760864257812, 0.28627753257751465, 0.3060261011123657, -0.7374851703643799, 1.5771484375, -0.56103515625, -1.22119140625, 0, 
9, 1650503525, 0.5985212326049805, -0.010854143649339676, -0.0002193469408666715, 0.8010334372520447, -0.19229702651500702, -0.1464329957962036, 9.830982208251953, 0.33960628509521484, 0.3578948378562927, -0.7581300735473633, 1.57666015625, -0.5615234375, -1.22216796875, 0, 
10, 1650511858, 0.5985183119773865, -0.010854844935238361, -0.00020831461006309837, 0.8010355234146118, -0.1877335160970688, -0.1369626373052597, 9.849486351013184, 0.410967618227005, 0.4235953986644745, -0.8245478272438049, 1.576171875, -0.56005859375, -1.22412109375, 0, 
11, 1650520191, 0.5985139608383179, -0.01086156815290451, -0.00019910944683942944, 0.8010386824607849, -0.1923038810491562, -0.12938734889030457, 9.86055850982666, 0.3455488383769989, 0.47871723771095276, -0.6849501729011536, 1.576171875, -0.56103515625, -1.22412109375, 0, 
12, 1650528524, 0.5985049605369568, -0.010856268927454948, -0.0001994685735553503, 0.8010454773902893, -0.17967940866947174, -0.1411398947238922, 9.851288795471191, 0.3344578146934509, 0.26240500807762146, -0.7196062803268433, 1.5751953125, -0.55859375, -1.220703125, 0, 
13, 1650536857, 0.5985064506530762, -0.010861318558454514, -0.00019764075113926083, 0.8010443449020386, -0.1731274127960205, -0.12365835160017014, 9.833306312561035, 0.28000202775001526, 0.39979982376098633, -0.7858960032463074, 1.57763671875, -0.5615234375, -1.2197265625, 0, 
14, 1650545190, 0.59850013256073, -0.01085489522665739, -0.0001915086613735184, 0.8010491132736206, -0.17538771033287048, -0.1329212784767151, 9.858756065368652, 0.41593676805496216, 0.30343905091285706, -0.7615880966186523, 1.5751953125, -0.5615234375, -1.224609375, 0, 
15, 1650553523, 0.5984998941421509, -0.010850990191102028, -0.0001975820487132296, 0.8010493516921997, -0.1793360859155655, -0.13410864770412445, 9.847719192504883, 0.2662215530872345, 0.23533077538013458, -0.7561578154563904, 1.57763671875, -0.56201171875, -1.224609375, 0, 
16, 1650561856, 0.5984888672828674, -0.010851772502064705, -0.00019928501569665968, 0.8010575175285339, -0.16868549585342407, -0.13536755740642548, 9.856932640075684, 0.269500195980072, 0.3184233605861664, -0.6866151690483093, 1.5751953125, -0.5634765625, -1.22119140625, 0, 
17, 1650570189, 0.5984886288642883, -0.010852735489606857, -0.00019625283312052488, 0.8010576963424683, -0.19467177987098694, -0.13765646517276764, 9.854865074157715, 0.3247244954109192, 0.3641960322856903, -0.7548515796661377, 1.576171875, -0.56396484375, -1.22216796875, 0, 
18, 1650578522, 0.5984802842140198, -0.010853986255824566, -0.0001933674211613834, 0.8010640740394592, -0.17230483889579773, -0.16392885148525238, 9.854586601257324, 0.3164766728878021, 0.36222368478775024, -0.7335916757583618, 1.5771484375, -0.5615234375, -1.22314453125, 0, 
19, 1650586855, 0.5984801650047302, -0.010848764330148697, -0.00019322017033118755, 0.8010642528533936, -0.1700298935174942, -0.13187669217586517, 9.83315658569336, 0.34593307971954346, 0.27277883887290955, -0.7571824789047241, 1.5751953125, -0.5615234375, -1.22265625, 0, 
20, 1650595188, 0.5984781384468079, -0.010843195021152496, -0.00018650750280357897, 0.8010658025741577, -0.17961525917053223, -0.13186997175216675, 9.842240333557129, 0.4159879684448242, 0.31888440251350403, -0.8385074734687805, 1.576171875, -0.5654296875, -1.224609375, 0, 
21, 1650603521, 0.5984765291213989, -0.010844344273209572, -0.0001864292280515656, 0.8010669946670532, -0.19472184777259827, -0.13184835016727448, 9.845773696899414, 0.29221999645233154, 0.3405027985572815, -0.7322341203689575, 1.5751953125, -0.56396484375, -1.2197265625, 0, 
22, 1650611854, 0.5984620451927185, -0.010847985744476318, -0.00018842054123524576, 0.8010777831077576, -0.18214714527130127, -0.13639040291309357, 9.838456153869629, 0.24250277876853943, 0.3486737608909607, -0.6323642730712891, 1.57568359375, -0.56201171875, -1.220703125, 0, 
23, 1650620187, 0.5984634757041931, -0.010853313840925694, -0.00019983240053988993, 0.8010766506195068, -0.17931461334228516, -0.12684136629104614, 9.842290878295898, 0.13095277547836304, 0.29232242703437805, -0.7857422232627869, 1.576171875, -0.5634765625, -1.2216796875, 0, 
24, 1650628520, 0.5984596610069275, -0.010854478925466537, -0.0002064718573819846, 0.801079511642456, -0.17731161415576935, -0.14111098647117615, 9.83292007446289, 0.2131744921207428, 0.2841259241104126, -0.8149937391281128, 1.57763671875, -0.56103515625, -1.2216796875, 0, 
25, 1650636853, 0.5984596610069275, -0.010845806449651718, -0.0002033877099165693, 0.8010795712471008, -0.18193255364894867, -0.1323419064283371, 9.865981101989746, 0.4052555561065674, 0.2574102580547333, -0.7587192058563232, 1.5751953125, -0.56298828125, -1.22216796875, 0, 
26, 1650645186, 0.5984542965888977, -0.010845785029232502, -0.00019789468205999583, 0.8010836243629456, -0.199914813041687, -0.1466905027627945, 9.843635559082031, 0.35584571957588196, 0.3698823153972626, -0.7792874574661255, 1.57470703125, -0.56201171875, -1.2236328125, 0, 
27, 1650653519, 0.5984539985656738, -0.010849343612790108, -0.0001963992981472984, 0.8010838031768799, -0.1877049058675766, -0.14789217710494995, 9.862003326416016, 0.2883778512477875, 0.379974365234375, -0.7549283504486084, 1.57568359375, -0.56298828125, -1.22265625, 0, 
28, 1650661852, 0.5984443426132202, -0.01084450539201498, -0.00019269963377155364, 0.8010910749435425, -0.18078094720840454, -0.14892934262752533, 9.852883338928223, 0.37480029463768005, 0.3007751405239105, -0.7092837691307068, 1.57373046875, -0.5615234375, -1.2236328125, 0, 
29, 1650670185, 0.5984406471252441, -0.010841918177902699, -0.00019576551858335733, 0.8010939359664917, -0.1905805915594101, -0.13746358454227448, 9.83651065826416, 0.288301020860672, 0.27454614639282227, -0.696732759475708, 1.5732421875, -0.56201171875, -1.22314453125, 0, 
30, 1650678518, 0.5984339714050293, -0.010848288424313068, -0.00019697537936735898, 0.801098644733429, -0.17663945257663727, -0.12543940544128418, 9.827655792236328, 0.2292858213186264, 0.3856094777584076, -0.7649434804916382, 1.5771484375, -0.56103515625, -1.220703125, 0, 
31, 1650686851, 0.5984403491020203, -0.010847177356481552, -0.00019665305444505066, 0.8010938763618469, -0.1714034080505371, -0.13808545470237732, 9.847626686096191, 0.31450435519218445, 0.3190636932849884, -0.8700386881828308, 1.57470703125, -0.56298828125, -1.2216796875, 0, 
32, 1650695184, 0.5984405875205994, -0.010848673060536385, -0.00019751068612094969, 0.8010936975479126, -0.18639592826366425, -0.14778488874435425, 9.8766450881958, 0.27487921714782715, 0.33481651544570923, -0.8766472935676575, 1.57470703125, -0.56298828125, -1.22314453125, 0, 
33, 1650703517, 0.598436713218689, -0.01085369847714901, -0.00019771353981923312, 0.8010964393615723, -0.1503456085920334, -0.13456644117832184, 9.840516090393066, 0.25694918632507324, 0.380589097738266, -0.6943762302398682, 1.578125, -0.5625, -1.224609375, 0, 
34, 1650711850, 0.5984293222427368, -0.010856963694095612, -0.00020444967958610505, 0.8011020421981812, -0.1843073070049286, -0.12459537386894226, 9.853219985961914, 0.1945272833108902, 0.3061797320842743, -0.7526229619979858, 1.5732421875, -0.55908203125, -1.22412109375, 0, 
35, 1650720183, 0.5984318256378174, -0.010859866626560688, -0.00020203915482852608, 0.8011001348495483, -0.18440012633800507, -0.13345754146575928, 9.851245880126953, 0.3032597303390503, 0.38064032793045044, -0.8023915886878967, 1.572265625, -0.5634765625, -1.22216796875, 0, 
36, 1650728516, 0.5984193682670593, -0.010861331596970558, -0.00019537475600373, 0.8011093735694885, -0.19045129418373108, -0.1352742314338684, 9.863977432250977, 0.3565373718738556, 0.39354994893074036, -0.6594128608703613, 1.57421875, -0.5625, -1.2216796875, 0, 
37, 1650736849, 0.5984218716621399, -0.010861440561711788, -0.00018784428539220244, 0.8011074662208557, -0.19372780621051788, -0.10333734005689621, 9.838807106018066, 0.38179299235343933, 0.39185938239097595, -0.8019816875457764, 1.57373046875, -0.5595703125, -1.2236328125, 0, 
38, 1650745182, 0.5984174609184265, -0.010858217254281044, -0.0001836419542087242, 0.8011108636856079, -0.18129616975784302, -0.11179196089506149, 9.85708236694336, 0.36985671520233154, 0.3243914544582367, -0.7976272702217102, 1.572265625, -0.5634765625, -1.22265625, 0, 
39, 1650753515, 0.5984184145927429, -0.010859275236725807, -0.0001863772195065394, 0.8011101484298706, -0.1824401468038559, -0.13849301636219025, 9.838327407836914, 0.26166221499443054, 0.3173987865447998, -0.7785189747810364, 1.57421875, -0.56298828125, -1.22021484375, 0, 
40, 1650761848, 0.5984148979187012, -0.010858198627829552, -0.00018999380699824542, 0.8011128306388855, -0.17053093016147614, -0.12880839407444, 9.855058670043945, 0.26409557461738586, 0.2833062410354614, -0.8164536952972412, 1.57568359375, -0.5615234375, -1.2236328125, 0, 
41, 1650770181, 0.5984140634536743, -0.010856074281036854, -0.0001891932188300416, 0.801113486289978, -0.1760883778333664, -0.1377992182970047, 9.854865074157715, 0.3272090256214142, 0.3117380142211914, -0.7454255223274231, 1.576171875, -0.56396484375, -1.22119140625, 0, 
42, 1650778514, 0.5984095931053162, -0.010858881287276745, -0.00019537631305865943, 0.8011167645454407, -0.18892088532447815, -0.15069609880447388, 9.860051155090332, 0.204593688249588, 0.3050270974636078, -0.7968587875366211, 1.5771484375, -0.5595703125, -1.22509765625, 0, 
43, 1650786847, 0.598411500453949, -0.01086181215941906, -0.00019979588978458196, 0.8011153340339661, -0.1643437147140503, -0.12920179963111877, 9.849600791931152, 0.22721107304096222, 0.32341811060905457, -0.7933240532875061, 1.57470703125, -0.56494140625, -1.22021484375, 0, 
44, 1650795180, 0.5984037518501282, -0.010864795185625553, -0.00020066350407432765, 0.8011210560798645, -0.17884968221187592, -0.14394381642341614, 9.841911315917969, 0.26250749826431274, 0.3515169620513916, -0.7372289896011353, 1.578125, -0.5634765625, -1.22216796875, 0, 
45, 1650803513, 0.5984066128730774, -0.010867279022932053, -0.00020673920516856015, 0.8011188507080078, -0.1785707175731659, -0.118129201233387, 9.85696792602539, 0.2128414809703827, 0.30528324842453003, -0.8099732995033264, 1.57373046875, -0.56201171875, -1.220703125, 0, 
46, 1650811846, 0.5983978509902954, -0.010860269889235497, -0.0002027832524618134, 0.8011255264282227, -0.18209707736968994, -0.13065382838249207, 9.847569465637207, 0.39657238125801086, 0.2800532281398773, -0.7240887880325317, 1.57373046875, -0.56201171875, -1.22314453125, 0, 
47, 1650820179, 0.5983983278274536, -0.010867318138480186, -0.00020295869035180658, 0.8011250495910645, -0.1933484971523285, -0.1341944932937622, 9.849249839782715, 0.2403767704963684, 0.40382120013237, -0.7697333097457886, 1.57470703125, -0.5615234375, -1.220703125, 0, 
48, 1650828512, 0.5983915328979492, -0.010866353288292885, -0.00020436494378373027, 0.8011301159858704, -0.17067371308803558, -0.12032482773065567, 9.858820915222168, 0.2880704998970032, 0.3029523193836212, -0.7571823596954346, 1.57373046875, -0.56201171875, -1.22412109375, 0, 
49, 1650836845, 0.5983885526657104, -0.010869142599403858, -0.00020255031995475292, 0.8011322617530823, -0.19074486196041107, -0.1354319304227829, 9.865723609924316, 0.2980600595474243, 0.3732890784740448, -0.7106925845146179, 1.57666015625, -0.5625, -1.22412109375, 0, 
